Tamanho amostra;Heuristica;Tempo;Fáctivel;Resultado;Teste;ID CHECKER
700;Next Product Improved V2.1;0.324824493;TRUE;5623.69;3;7000.3248244925957025623.69
800;Solver method;65.43455642;TRUE;7258.2;3;80065.43455641508697258.2
800;Next Product2Buy;0.048250587;FALSE;8721.73;3;8000.04825058748620848721.73
800;Next Product Improved V2.1;1.858904026;TRUE;7258.2;3;8001.858904026413917258.2
900;Solver method;85.06819476;TRUE;8108.4;3;90085.06819475988558108.4
900;Next Product2Buy;0.032328562;FALSE;8478.22;3;9000.03232856233259448478.22
900;Next Product Improved V2.1;1.276572674;TRUE;8064.41;3;9001.276572674342278064.41
1000;Solver method;111.1325352;TRUE;7435.31;3;1000111.1325351671217435.31
1000;Next Product2Buy;0.076703054;FALSE;9979.52;3;10000.07670305361551759979.52
1000;Next Product Improved V2.1;3.255815785;TRUE;7363.88;3;10003.255815785327967363.88
1200;Solver method;151.2577329;TRUE;9879.83;3;1200151.2577329103879879.83
1200;Next Product2Buy;0.047366897;FALSE;9578.96;3;12000.04736689662865959578.96
1200;Next Product Improved V2.1;0.866912629;TRUE;9379.91;3;12000.8669126286561669379.91
1400;Solver method;203.0473173;TRUE;12632.41;3;1400203.04731725568412632.41
1400;Next Product2Buy;0.07544603;FALSE;13635.99;3;14000.075446030037255713635.99
1400;Next Product Improved V2.1;5.281055949;TRUE;12489.59;3;14005.2810559490363812489.59
1600;Solver method;251.1351653;TRUE;13970.16;3;1600251.13516531665113970.16
1600;Next Product2Buy;0.080896278;FALSE;13897.12;3;16000.080896277503484213897.12
1600;Next Product Improved V2.1;1.75819732;TRUE;13414.86;3;16001.7581973198813313414.86
1800;Solver method;309.2988143;TRUE;16097.07;3;1800309.29881427886816097.07
1800;Next Product2Buy;0.145602633;FALSE;16374.45;3;18000.14560263285716216374.45
1800;Next Product Improved V2.1;2.79674659;TRUE;15700.83;3;18002.796746589954415700.83
2000;Solver method;406.1938766;TRUE;16674.22;3;2000406.1938766049216674.22
2000;Next Product2Buy;0.086085192;FALSE;16172.2;3;20000.086085192065411316172.2
2000;Next Product Improved V2.1;3.763561414;TRUE;16234.35;3;20003.7635614136427116234.35
2200;Solver method;441.2909435;TRUE;19842.6;3;2200441.29094352255419842.6
2200;Next Product2Buy;0.146639349;FALSE;23293.2;3;22000.14663934910464623293.2
2200;Next Product Improved V2.1;12.49644308;TRUE;19706.82;3;220012.4964430827619706.82
2400;Solver method;543.3458817;TRUE;21277.29;3;2400543.34588168880921277.29
2400;Next Product2Buy;0.173627613;FALSE;21262.66;3;24000.17362761250853921262.66
2400;Next Product Improved V2.1;4.298660023;TRUE;20574.44;3;24004.2986600227118220574.44
1400;Solver method;427.9317929;TRUE;11980.11;4;1400427.93179293244211980.11
1400;Next Product2Buy;0.15528713;FALSE;11918.42;4;14000.15528712978522211918.42
1400;Next Product Improved V2.1;4.941080712;TRUE;11899.1;4;14004.9410807120726711899.1
1600;Solver method;492.4949822;TRUE;14054.64;4;1600492.4949821620814054.64
1600;Next Product2Buy;0.12767938;FALSE;16477.54;4;16000.12767938021852316477.54
1600;Next Product Improved V2.1;13.38377045;TRUE;13884.51;4;160013.383770447145913884.51
1800;Solver method;537.4463279;TRUE;16200.16;4;1800537.44632788294916200.16
1800;Next Product2Buy;0.244537035;FALSE;19628.73;4;18000.24453703460585519628.73
1800;Next Product Improved V2.1;17.09078303;TRUE;16199.05;4;180017.0907830305116199.05
2500;Solver method;1040.647921;TRUE;22464.66;4;25001040.6479213982822464.66
2500;Next Product2Buy;0.286632145;FALSE;26763.67;4;25000.28663214501375426763.67
2500;Next Product Improved V2.1;29.32325937;TRUE;22464.66;4;250029.32325936695922464.66
3000;Solver method;1837.796931;TRUE;26697.26;4;30001837.7969307947826697.26
3000;Next Product2Buy;0.521770221;FALSE;26712.71;4;30000.52177022068462926712.71
3000;Next Product Improved V2.1;15.4033097;TRUE;25846.25;4;300015.403309697132525846.25
1400;Solver method;431.1448588;TRUE;12538.21;5;1400431.14485883920612538.21
1400;Next Product2Buy;0.093096463;FALSE;12765.54;5;14000.093096462610901612765.54
1400;Next Product Improved V2.1;1.938064512;TRUE;12263.62;5;14001.9380645118941412263.62
1600;Solver method;307.3016824;TRUE;13782.14;5;1600307.30168237672613782.14
1600;Next Product2Buy;0.1311924;FALSE;13557.43;5;16000.13119240009450513557.43
1600;Next Product Improved V2.1;2.719476973;TRUE;13259.15;5;16002.7194769731660213259.15
1800;Solver method;350.7688488;TRUE;16166.5;5;1800350.76884878958116166.5
1800;Next Product2Buy;0.147207553;FALSE;18316.06;5;18000.14720755330040418316.06
1800;Next Product Improved V2.1;9.537788246;TRUE;16122.97;5;18009.5377882456809816122.97
2500;Solver method;691.1903886;TRUE;14205.74;5;2500691.19038861064414205.74
2500;Next Product2Buy;0.209650938;FALSE;26453.77;5;25000.20965093800873526453.77
2500;Next Product Improved V2.1;18.24472657;TRUE;14197.47;5;250018.244726572756414197.47
3000;Solver method;1074.596853;TRUE;25368.23;5;30001074.5968531743925368.23
3000;Next Product2Buy;0.264529207;FALSE;24780.98;5;30000.26452920692645424780.98
3000;Next Product Improved V2.1;7.79438844;TRUE;24573.77;5;30007.7943884399783224573.77
3500;Solver method;1345.949716;TRUE;31337;5;35001345.9497161850831337
3500;Next Product2Buy;0.284413072;FALSE;32051.25;5;35000.2844130717321632051.25
3500;Next Product Improved V2.1;11.3713196;TRUE;30761.12;5;350011.371319595782530761.12
10;Solver method;0.059246408;TRUE;91.07;6;100.059246407586795991.07
10;Next Product2Buy;0.002743387;FALSE;85.39;6;100.0027433868663687285.39
10;Next Product Improved V2.1;0.006516108;TRUE;84.83;6;100.0065161079106526484.83
20;Solver method;0.127893438;TRUE;181.51;6;200.127893438271539181.51
20;Next Product2Buy;0.005188517;FALSE;188.66;6;200.0051885170777576188.66
20;Next Product Improved V2.1;0.008526776;TRUE;181.51;6;200.00852677622709846181.51
30;Solver method;0.16463193;TRUE;262.26;6;300.164631929954404262.26
30;Next Product2Buy;0.006545236;FALSE;249.69;6;300.00654523613968094249.69
30;Next Product Improved V2.1;0.007618878;TRUE;250.2;6;300.00761887804625893250.2
40;Solver method;0.255149338;TRUE;343.89;6;400.25514933755843343.89
40;Next Product2Buy;0.007645955;FALSE;323.68;6;400.00764595499155285323.68
40;Next Product Improved V2.1;0.010747086;TRUE;319.16;6;400.0107470857411985319.16
50;Solver method;0.346928695;TRUE;435.71;6;500.346928694915852435.71
50;Next Product2Buy;0.00754216;FALSE;524.74;6;500.00754216003459284524.74
50;Next Product Improved V2.1;0.024409866;TRUE;426.65;6;500.0244098661824543426.65
60;Solver method;0.482829935;TRUE;529.4;6;600.482829934629689529.4
60;Next Product2Buy;0.007296416;FALSE;516.48;6;600.0072964162432132516.48
60;Next Product Improved V2.1;0.019884324;TRUE;516.83;6;600.0198843240076505516.83
70;Solver method;0.62743354;TRUE;620.31;6;700.627433540458289620.31
70;Next Product2Buy;0.004774568;FALSE;666.48;6;700.00477456802015829666.48
70;Next Product Improved V2.1;0.036036953;TRUE;620.31;6;700.0360369526457047620.31
80;Solver method;0.744767791;TRUE;701.22;6;800.744767790578699701.22
80;Next Product2Buy;0.007655391;FALSE;813.83;6;800.00765539089673072813.83
80;Next Product Improved V2.1;0.041899932;TRUE;686.11;6;800.0418999318153283686.11
90;Solver method;1.034935824;TRUE;810.88;6;901.03493582353708810.88
90;Next Product2Buy;0.00810175;FALSE;911.46;6;900.0081017502373335911.46
90;Next Product Improved V2.1;0.057091329;TRUE;810.88;6;900.0570913288954493810.88
100;Solver method;1.205139861;TRUE;717;6;1001.20513986062757717
100;Next Product2Buy;0.012295395;FALSE;958.96;6;1000.0122953947039139958.96
100;Next Product Improved V2.1;0.050458298;TRUE;711.56;6;1000.0504582978119367711.56
150;Solver method;2.409640952;TRUE;1310.74;6;1502.409640951500261310.74
150;Next Product2Buy;0.01209601;FALSE;1357.25;6;1500.01209600992493161357.25
150;Next Product Improved V2.1;0.097144285;TRUE;1291.62;6;1500.09714428483633591291.62
200;Solver method;3.90735336;TRUE;1797.34;6;2003.907353359879671797.34
200;Next Product2Buy;0.013363703;FALSE;2066.87;6;2000.01336370327278222066.87
200;Next Product Improved V2.1;0.138449755;TRUE;1797.34;6;2000.1384497546254391797.34
250;Solver method;6.198631958;TRUE;2199.84;6;2506.198631957851862199.84
250;Next Product2Buy;0.019484324;FALSE;2713.13;6;2500.01948432367944612713.13
250;Next Product Improved V2.1;0.218130641;TRUE;2172.56;6;2500.2181306405174472172.56
300;Solver method;9.549420348;TRUE;2624.5;6;3009.549420348242332624.5
300;Next Product2Buy;0.0157075;FALSE;2632.07;6;3000.01570750006769112632.07
300;Next Product Improved V2.1;0.198346009;TRUE;2566.96;6;3000.1983460088992892566.96
350;Solver method;13.50443939;TRUE;1028.61;6;35013.50443938825791028.61
350;Next Product2Buy;0.018713862;FALSE;2790.53;6;3500.01871386150880732790.53
350;Next Product Improved V2.1;0.475943365;TRUE;1027.39;6;3500.4759433648766061027.39
400;Solver method;16.69492406;TRUE;3586.45;6;40016.69492405737353586.45
400;Next Product2Buy;0.02614156;FALSE;4300.98;6;4000.0261415599110254300.98
400;Next Product Improved V2.1;0.98565004;TRUE;3586.45;6;4000.9856500395077243586.45
450;Solver method;21.36442532;TRUE;3543.26;6;45021.36442532465663543.26
450;Next Product2Buy;0.020838581;FALSE;3716;6;4500.02083858120089133716
450;Next Product Improved V2.1;0.202481807;TRUE;3477.09;6;4500.2024818071645593477.09
500;Solver method;24.52884515;TRUE;4278.75;6;50024.52884515187294278.75
500;Next Product2Buy;0.019993452;FALSE;4238.29;6;5000.01999345230231594238.29
500;Next Product Improved V2.1;0.151276432;TRUE;4157.33;6;5000.1512764318165554157.33
600;Solver method;72.36933733;TRUE;4539.3;6;60072.3693373286874539.3
600;Next Product2Buy;0.03032864;FALSE;4944.31;6;6000.03032864026965854944.31
600;Next Product Improved V2.1;0.252458053;TRUE;4441.96;6;6000.2524580532989094441.96
700;Solver method;46.80941523;TRUE;5122.2;6;70046.80941522823815122.2
700;Next Product2Buy;0.033728438;FALSE;5728.75;6;7000.03372843793101765728.75
700;Next Product Improved V2.1;1.285901363;TRUE;5071.45;6;7001.285901362790835071.45
800;Solver method;60.12740359;TRUE;6958.44;6;80060.12740359171576958.44
800;Next Product2Buy;0.039591827;FALSE;6876.48;6;8000.03959182735741256876.48
800;Next Product Improved V2.1;0.392303501;TRUE;6652.53;6;8000.3923035013772276652.53
900;Solver method;77.30077194;TRUE;7247.82;6;90077.30077193909497247.82
900;Next Product2Buy;0.0567582;FALSE;7329.23;6;9000.05675820041699357329.23
900;Next Product Improved V2.1;0.46331197;TRUE;7151.73;6;9000.4633119698970067151.73
1000;Solver method;93.30425994;TRUE;8690.23;6;100093.30425994195688690.23
1000;Next Product2Buy;0.049549169;FALSE;8610.56;6;10000.04954916886083538610.56
1000;Next Product Improved V2.1;0.604248701;TRUE;8346.21;6;10000.6042487009220288346.21
10;Solver method;0.054893448;TRUE;90.74;7;100.054893448379982190.74
10;Next Product2Buy;0.002722047;FALSE;102.65;7;100.00272204681510265102.65
10;Next Product Improved V2.1;0.006233426;TRUE;89.92;7;100.0062334256682245489.92
20;Solver method;0.101559218;TRUE;181.13;7;200.101559217954103181.13
20;Next Product2Buy;0.002584201;FALSE;187.99;7;200.00258420088746519187.99
20;Next Product Improved V2.1;0.008971062;TRUE;176.09;7;200.00897106220133384176.09
30;Solver method;0.226639628;TRUE;256.25;7;300.226639628078559256.25
30;Next Product2Buy;0.00662522;FALSE;271.92;7;300.00662521989707504271.92
30;Next Product Improved V2.1;0.017810022;TRUE;248.29;7;300.0178100220553484248.29
40;Solver method;0.304192321;TRUE;337.73;7;400.304192321325421337.73
40;Next Product2Buy;0.006460707;FALSE;364.07;7;400.00646070734653159364.07
40;Next Product Improved V2.1;0.022344579;TRUE;329.62;7;400.0223445787165887329.62
50;Solver method;0.352757985;TRUE;442.28;7;500.352757985217665442.28
50;Next Product2Buy;0.010690034;FALSE;432.84;7;500.0106900337394317432.84
50;Next Product Improved V2.1;0.012719159;TRUE;421.29;7;500.0127191586147139421.29
60;Solver method;0.518820482;TRUE;511.72;7;600.518820481935619511.72
60;Next Product2Buy;0.006666656;FALSE;508.86;7;600.00666665572651359508.86
60;Next Product Improved V2.1;0.012477518;TRUE;493.24;7;600.0124775179856115493.24
70;Solver method;0.621575595;TRUE;574.8;7;700.621575595363125574.8
70;Next Product2Buy;0.006578861;FALSE;710.61;7;700.00657886099879245710.61
70;Next Product Improved V2.1;0.039232756;TRUE;559.41;7;700.0392327561308616559.41
80;Solver method;0.870995494;TRUE;722.38;7;800.870995493750984722.38
80;Next Product2Buy;0.007925731;FALSE;861.62;7;800.00792573058341661861.62
80;Next Product Improved V2.1;0.052517657;TRUE;716.57;7;800.0525176574069212716.57
90;Solver method;1.060440516;TRUE;714.15;7;901.06044051620017714.15
90;Next Product2Buy;0.008413525;FALSE;759.25;7;900.00841352465472855759.25
90;Next Product Improved V2.1;0.019631968;TRUE;709.98;7;900.0196319677834377709.98
100;Solver method;1.346978302;TRUE;905.44;7;1001.34697830239458905.44
100;Next Product2Buy;0.008034859;FALSE;1055.47;7;1000.008034858609462951055.47
100;Next Product Improved V2.1;0.058199289;TRUE;905.44;7;1000.0581992891088587905.44
150;Solver method;2.438610562;TRUE;1335.7;7;1502.43861056228011335.7
150;Next Product2Buy;0.009903573;FALSE;1409.35;7;1500.0099035734915721409.35
150;Next Product Improved V2.1;0.046071309;TRUE;1321.31;7;1500.04607130901118591321.31
200;Solver method;4.32366552;TRUE;1782.55;7;2004.323665520138631782.55
200;Next Product2Buy;0.01482336;FALSE;2005.35;7;2000.01482336028987062005.35
200;Next Product Improved V2.1;0.140278744;TRUE;1714.31;7;2000.1402787441579581714.31
250;Solver method;6.720481689;TRUE;2135.52;7;2506.720481689465942135.52
250;Next Product2Buy;0.013007568;FALSE;2127.08;7;2500.0130075683978392127.08
250;Next Product Improved V2.1;0.069612193;TRUE;2061.75;7;2500.06961219345691562061.75
300;Solver method;9.421134078;TRUE;2693.09;7;3009.421134078138942693.09
300;Next Product2Buy;0.015858025;FALSE;2799.13;7;3000.01585802525862682799.13
300;Next Product Improved V2.1;0.168037058;TRUE;2668.48;7;3000.1680370575802142668.48
350;Solver method;12.65281862;TRUE;2910.65;7;35012.65281862101552910.65
350;Next Product2Buy;0.013605721;FALSE;2852.48;7;3500.01360572126240812852.48
350;Next Product Improved V2.1;0.086727242;TRUE;2761.17;7;3500.08672724229376172761.17
400;Solver method;15.99871426;TRUE;3625.62;7;40015.99871425852013625.62
400;Next Product2Buy;0.018257201;FALSE;4287.22;7;4000.01825720080869784287.22
400;Next Product Improved V2.1;0.446248704;TRUE;3625.62;7;4000.4462487035918693625.62
450;Solver method;19.49655467;TRUE;4056.75;7;45019.49655467232054056.75
450;Next Product2Buy;0.026850007;FALSE;4832.49;7;4500.02685000722048864832.49
450;Next Product Improved V2.1;0.583088684;TRUE;4056.75;7;4500.5830886841621634056.75
500;Solver method;24.42172731;TRUE;4128.1;7;50024.42172730793464128.1
500;Next Product2Buy;0.018027047;FALSE;4017.3;7;5000.01802704734024014017.3
500;Next Product Improved V2.1;0.168583108;TRUE;3900.91;7;5000.1685831079661853900.91
600;Solver method;33.71099822;TRUE;5400.42;7;60033.7109982178495400.42
600;Next Product2Buy;0.029222516;FALSE;6111.83;7;6000.02922251614765516111.83
600;Next Product Improved V2.1;1.027739852;TRUE;5335.33;7;6001.027739851914075335.33
700;Solver method;44.49259776;TRUE;6314.52;7;70044.4925977557376314.52
700;Next Product2Buy;0.035285275;FALSE;6810.29;7;7000.03528527542928826810.29
700;Next Product Improved V2.1;1.356193467;TRUE;6314.52;7;7001.356193466759436314.52
800;Solver method;56.55852544;TRUE;6997.74;7;80056.55852544241986997.74
800;Next Product2Buy;0.041408342;FALSE;7267.72;7;8000.04140834230426547267.72
800;Next Product Improved V2.1;0.889168592;TRUE;6754.79;7;8000.8891685921336146754.79
10;Solver method;0.036516863;TRUE;91.7;8;100.036516863151814391.7
10;Next Product2Buy;0.002109945;FALSE;85.48;8;100.0021099452554744485.48
10;Next Product Improved V2.1;0.006591989;TRUE;84.92;8;100.0065919891823767284.92
20;Solver method;0.100435527;TRUE;171.1;8;200.100435527490416171.1
20;Next Product2Buy;0.003607379;FALSE;204.3;8;200.00360737869558366204.3
20;Next Product Improved V2.1;0.008371679;TRUE;165.57;8;200.00837167856955312165.57
30;Solver method;0.17585366;TRUE;266.69;8;300.175853660137583266.69
30;Next Product2Buy;0.002744201;FALSE;330.26;8;300.00274420062490154330.26
30;Next Product Improved V2.1;0.009459267;TRUE;262.65;8;300.00945926652838313262.65
40;Solver method;0.247356722;TRUE;341.91;8;400.247356722286404341.91
40;Next Product2Buy;0.007620911;FALSE;376.64;8;400.00762091057081337376.64
40;Next Product Improved V2.1;0.014114849;TRUE;338.07;8;400.0141148486320432338.07
50;Solver method;0.416014497;TRUE;433.37;8;500.416014496796723433.37
50;Next Product2Buy;0.004615787;FALSE;448.74;8;500.00461578729716949448.74
50;Next Product Improved V2.1;0.025123241;TRUE;420.63;8;500.0251232408233996420.63
60;Solver method;0.469073692;TRUE;301.4;8;600.469073691776505301.4
60;Next Product2Buy;0.006262964;FALSE;494.98;8;600.00626296408128967494.98
60;Next Product Improved V2.1;0.032899228;TRUE;299.91;8;600.0328992280628051299.91
70;Solver method;0.681061857;TRUE;603.4;8;700.681061856719004603.4
70;Next Product2Buy;0.006347477;FALSE;737.84;8;700.00634747676311509737.84
70;Next Product Improved V2.1;0.031573692;TRUE;588.29;8;700.0315736917765057588.29
80;Solver method;0.806347395;TRUE;631.65;8;800.806347394711967631.65
80;Next Product2Buy;0.009414959;FALSE;656.38;8;800.00941495890878529656.38
80;Next Product Improved V2.1;0.01878479;TRUE;616.5;8;800.0187847896864989616.5
90;Solver method;0.983863821;TRUE;819.73;8;900.983863821351677819.73
90;Next Product2Buy;0.009581112;FALSE;827.26;8;900.00958111248227666827.26
90;Next Product Improved V2.1;0.02688652;TRUE;806.35;8;900.0268865199810948806.35
100;Solver method;1.195069629;TRUE;870.24;8;1001.19506962860368870.24
100;Next Product2Buy;0.006691271;FALSE;860.19;8;1000.00669127107073475860.19
100;Next Product Improved V2.1;0.020066429;TRUE;843.17;8;1000.0200664286089375843.17
150;Solver method;2.754781941;TRUE;1338.36;8;1502.754781940870661338.36
150;Next Product2Buy;0.013083055;FALSE;1578.02;8;1500.0130830554534481578.02
150;Next Product Improved V2.1;0.082280891;TRUE;1319.34;8;1500.08228089061597461319.34
200;Solver method;4.231876132;TRUE;1798.21;8;2004.231876132305831798.21
200;Next Product2Buy;0.013340696;FALSE;2062.7;8;2000.01334069605629472062.7
200;Next Product Improved V2.1;0.171316232;TRUE;1798.21;8;2000.1713162316861841798.21
250;Solver method;6.498594874;TRUE;2127.17;8;2506.498594874100712127.17
250;Next Product2Buy;0.011423571;FALSE;2116.4;8;2500.01142357099721632116.4
250;Next Product Improved V2.1;0.068934451;TRUE;2020.63;8;2500.06893445097936282020.63
300;Solver method;9.564573843;TRUE;2733.09;8;3009.564573842750612733.09
300;Next Product2Buy;0.03100877;FALSE;2978.7;8;3000.03100876962663432978.7
300;Next Product Improved V2.1;0.303883809;TRUE;2730.28;8;3000.3038838090111852730.28
350;Solver method;12.72468845;TRUE;3041.58;8;35012.72468845179333041.58
350;Next Product2Buy;0.029302926;FALSE;3334.16;8;3500.02930292627211623334.16
350;Next Product Improved V2.1;0.356870799;TRUE;3000.84;8;3500.3568707989812483000.84
400;Solver method;15.88231322;TRUE;3480.46;8;40015.8823132187683480.46
400;Next Product2Buy;0.019015353;FALSE;3739.94;8;4000.01901535341070113739.94
400;Next Product Improved V2.1;0.439474561;TRUE;3439.4;8;4000.4394745608622583439.4
450;Solver method;19.44085466;TRUE;3425.7;8;45019.44085466116153425.7
450;Next Product2Buy;0.022509502;FALSE;3912.26;8;4500.0225095015228763912.26
450;Next Product Improved V2.1;0.597915737;TRUE;3393.99;8;4500.5979157367536623393.99
500;Solver method;24.82513177;TRUE;4113.22;8;50024.82513177414274113.22
500;Next Product2Buy;0.039808755;FALSE;4294.13;8;5000.0398087551856324294.13
500;Next Product Improved V2.1;0.262803261;TRUE;4037.2;8;5000.2628032610408014037.2
10;Solver method;0.063173795;TRUE;60.68;9;100.063173795424652660.68
10;Next Product2Buy;0.002453335;FALSE;93.42;9;100.0024533353463264493.42
10;Next Product Improved V2.1;0.012829139;TRUE;60.28;9;100.01282913873160160.28
20;Solver method;0.197683034;TRUE;165.7;9;200.197683033996335165.7
20;Next Product2Buy;0.010643291;FALSE;178.09;9;200.0106432907842385178.09
20;Next Product Improved V2.1;0.019684939;TRUE;150.4;9;200.019684939228668150.4
30;Solver method;0.328042115;TRUE;257.58;9;300.328042115316607257.58
30;Next Product2Buy;0.004112414;FALSE;268.89;9;300.00411241363069836268.89
30;Next Product Improved V2.1;0.028895613;TRUE;256.77;9;300.0288956134528109256.77
40;Solver method;0.487458451;TRUE;359.85;9;400.487458451247959359.85
40;Next Product2Buy;0.010758163;FALSE;411.94;9;400.0107581626733641411.94
40;Next Product Improved V2.1;0.036817671;TRUE;359.85;9;400.0368176712350123359.85
50;Solver method;374.8251075;TRUE;417.96;9;50374.825107548806417.96
50;Next Product2Buy;0.010815188;FALSE;401.5;9;500.0108151883612208401.5
